"iter","mc1","mc2"
1,65499,32976
2,59,32023
3,65,55234
4,65469,62233
5,67,62217
6,65454,23119
7,65434,717
8,87,576
9,73,125
10,93,136
11,65468,128
12,67,92
13,65441,88
14,65450,65451
15,65459,65462
16,65463,65459
17,76,65440
18,65455,102
19,84,65439
20,65451,81
21,98,95
22,81,86
23,80,86
