"iter","mc1","mc2"
1,0.998787,0.35154
2,0.499413,0.384953
3,0.332947,0.392779
4,0.249729,0.530441
5,0.399301,0.618236
6,0.332755,0.515729
7,0.285224,0.442349
8,0.249576,0.511378
9,0.221851,0.565262
10,0.299435,0.508754
11,0.272219,0.462508
12,0.24954,0.507038
13,0.307052,0.544762
14,0.356367,0.505851
15,0.399113,0.538631
16,0.436523,0.504967
17,0.410849,0.533941
18,0.443435,0.504278
19,0.472604,0.477739
