"iter","mc1","mc2"
1,0.999573,0
2,0.999573,0.499786
3,0.999512,0.333193
4,0.749634,0.249897
5,0.79953,0.399802
6,0.666276,0.499748
7,0.71382,0.428356
8,0.749463,0.374811
9,0.666192,0.444171
10,0.599573,0.399757
11,0.545066,0.363419
12,0.582932,0.416381
13,0.538091,0.461192
14,0.571045,0.499616
15,0.599587,0.466309
16,0.624528,0.499619
17,0.587791,0.529021
18,0.610639,0.499631
19,0.5785,0.473335
20,0.549576,0.499632
21,0.523406,0.523407
