"iter","mc1","mc2"
1,0.992851,0.342285
2,0.496677,0.367268
3,0.659709,0.392774
4,0.740988,0.495008
5,0.592957,0.401826
6,0.494268,0.338826
7,0.564408,0.290926
8,0.616958,0.254834
9,0.657733,0.226718
10,0.592051,0.302081
11,0.538302,0.363948
12,0.493504,0.415531
13,0.455603,0.459258
