"iter","mc1","mc2"
1,0.997513,0.367111
2,0.996704,0.37175
3,0.995959,0.290148
4,0.747015,0.234816
5,0.796396,0.378413
6,0.829416,0.477859
7,0.710958,0.550245
8,0.622113,0.605085
9,0.553022,0.537954
10,0.497739,0.484187
11,0.452505,0.440192
12,0.497599,0.48632
13,0.459337,0.525365
14,0.426541,0.487855
15,0.398117,0.455348
16,0.43535,0.489001
17,0.468196,0.460249
