"","x"
"1",3929
"2",3847
"3",3770
"4",3735
"5",3732
"6",3725
"7",3662
"8",3608
"9",3671
"10",3644
"11",3679
"12",3680
"13",3686
"14",3641
"15",3618
"16",3583
"17",3604
"18",3601
"19",3580
"20",3605
"21",3540
"22",3464
"23",3455
"24",3430
"25",3466
"26",3497
"27",3439
"28",3466
"29",3420
"30",3437
"31",3457
"32",3452
"33",3472
"34",3458
"35",3437
"36",3467
"37",3420
"38",3340
"39",3308
"40",3333
"41",3285
"42",3304
"43",3290
"44",3286
"45",3314
"46",3321
"47",3363
"48",3336
"49",3345
"50",3342
"51",3367
"52",3343
"53",3377
"54",3416
"55",3421
"56",3394
"57",3401
"58",3418
"59",3430
"60",3422
"61",3394
"62",3358
"63",3383
"64",3360
"65",3348
"66",3376
"67",3346
"68",3278
"69",3292
"70",3335
"71",3357
"72",3372
"73",3373
"74",3354
"75",3340
"76",3348
"77",3309
"78",3354
"79",3359
"80",3356
"81",3354
"82",3403
"83",3381
"84",3373
"85",3323
"86",3361
"87",3360
"88",3357
"89",3315
"90",3286
"91",3314
"92",3298
"93",3275
"94",3227
"95",3171
"96",3186
"97",3213
"98",3221
"99",3263
"100",3260
"101",3178
"102",3130
"103",3086
"104",3096
"105",3112
"106",3056
"107",3041
"108",3042
"109",3025
"110",3083
"111",3113
"112",3128
"113",3153
"114",3183
"115",3118
"116",3125
"117",3076
"118",3104
"119",3128
"120",3164
"121",3149
"122",3148
"123",3145
"124",3175
"125",3179
"126",3196
"127",3111
"128",3097
"129",3156
"130",3156
"131",3219
"132",3221
"133",3262
"134",3240
"135",3198
"136",3175
"137",3213
"138",3177
"139",3140
"140",3145
"141",3122
"142",3160
"143",3122
"144",3125
"145",3150
"146",3158
"147",3152
"148",3184
"149",3187
"150",3210
"151",3270
"152",3255
"153",3278
"154",3312
"155",3333
"156",3320
"157",3312
"158",3326
"159",3289
"160",3296
"161",3250
"162",3249
"163",3206
"164",3136
"165",3141
"166",3197
"167",3243
"168",3258
"169",3273
"170",3264
"171",3227
"172",3222
"173",3211
"174",3165
"175",3153
"176",3135
"177",3176
"178",3182
"179",3185
"180",3140
"181",3149
"182",3102
"183",3134
"184",3121
"185",3124
"186",3117
"187",3121
"188",3128
"189",3172
"190",3149
"191",3129
"192",3080
"193",3111
"194",3090
"195",3079
"196",3130
"197",3111
"198",3092
"199",3126
"200",3093
"201",3022
"202",2998
"203",3003
"204",3043
"205",3049
"206",3104
"207",3119
"208",3121
"209",3137
"210",3123
"211",3085
"212",3063
"213",3034
"214",3018
"215",3010
"216",3022
"217",2996
"218",3011
"219",3001
"220",3004
"221",3018
"222",3021
"223",3061
"224",3043
"225",3098
"226",3083
"227",3065
"228",3030
"229",2991
"230",2994
"231",2981
"232",2987
"233",2979
"234",2994
"235",3027
"236",3079
"237",3129
"238",3111
"239",3079
"240",3045
"241",3078
"242",3127
"243",3117
"244",3161
"245",3164
"246",3154
"247",3168
"248",3166
"249",3180
"250",3245
"251",3243
"252",3270
"253",3296
"254",3292
