"","x"
"1",3955
"2",3847
"3",3748
"4",3710
"5",3694
"6",3648
"7",3614
"8",3525
"9",3497
"10",3487
"11",3504
"12",3494
"13",3486
"14",3463
"15",3486
"16",3466
"17",3385
"18",3398
"19",3329
"20",3285
"21",3270
"22",3294
"23",3284
"24",3247
"25",3263
"26",3277
"27",3301
"28",3322
"29",3316
"30",3297
"31",3276
"32",3309
"33",3266
"34",3325
"35",3349
"36",3384
"37",3388
"38",3389
"39",3381
"40",3414
"41",3360
"42",3337
"43",3281
"44",3277
"45",3281
"46",3242
"47",3252
"48",3245
"49",3204
"50",3213
"51",3257
"52",3215
"53",3194
"54",3171
"55",3136
"56",3095
"57",3054
"58",3069
"59",3032
"60",3020
"61",3063
"62",3095
"63",3051
"64",3026
"65",3047
"66",3064
"67",3129
"68",3127
"69",3145
"70",3128
"71",3159
"72",3199
"73",3226
"74",3223
"75",3174
"76",3149
"77",3145
"78",3077
"79",3085
"80",3036
"81",3020
"82",3040
"83",3020
"84",3006
"85",2961
"86",2931
"87",2950
"88",2966
"89",2984
"90",2922
"91",2878
"92",2878
"93",2924
"94",2915
"95",2896
"96",2915
"97",2887
"98",2846
"99",2847
"100",2894
"101",2855
"102",2839
"103",2866
"104",2908
"105",2895
"106",2829
"107",2807
"108",2790
"109",2763
"110",2760
"111",2755
"112",2705
"113",2737
"114",2740
"115",2756
"116",2710
"117",2710
"118",2703
"119",2723
"120",2742
"121",2770
"122",2803
"123",2809
"124",2864
"125",2808
"126",2784
"127",2768
"128",2752
"129",2752
"130",2755
"131",2753
"132",2799
"133",2793
"134",2775
"135",2740
"136",2734
"137",2742
"138",2763
"139",2824
"140",2877
"141",2919
"142",2977
"143",3047
"144",3095
"145",3110
"146",3106
"147",3123
"148",3127
"149",3117
"150",3149
"151",3169
"152",3156
"153",3163
"154",3109
"155",3133
"156",3115
"157",3095
"158",3065
"159",3006
"160",2997
"161",3031
"162",3024
"163",3042
"164",3018
"165",3024
"166",2999
"167",2990
"168",2984
"169",2962
"170",2971
"171",3001
"172",2993
"173",3011
"174",3044
"175",3062
"176",3061
"177",2960
"178",2949
"179",2969
"180",3018
"181",3008
"182",2986
"183",2954
"184",2922
"185",2897
"186",2867
"187",2825
"188",2851
"189",2844
"190",2852
"191",2864
"192",2887
"193",2902
"194",2961
"195",2954
"196",2910
"197",2843
"198",2796
"199",2871
"200",2848
"201",2844
"202",2850
"203",2862
"204",2905
"205",2916
"206",2879
"207",2901
"208",2885
"209",2860
"210",2882
"211",2913
"212",2923
"213",2943
"214",2928
"215",2868
"216",2806
"217",2836
"218",2799
"219",2821
"220",2807
"221",2839
"222",2821
"223",2891
"224",2858
"225",2885
"226",2861
"227",2819
"228",2847
"229",2875
"230",2921
"231",2934
"232",2874
"233",2839
"234",2808
"235",2806
"236",2825
"237",2803
"238",2841
"239",2780
"240",2753
"241",2774
"242",2738
"243",2700
"244",2679
"245",2677
"246",2620
"247",2587
"248",2526
"249",2542
"250",2572
"251",2590
"252",2546
"253",2495
"254",2537
"255",2546
"256",2517
"257",2544
"258",2583
"259",2582
"260",2639
"261",2614
"262",2599
"263",2591
"264",2588
"265",2631
"266",2667
"267",2717
"268",2702
"269",2735
"270",2729
"271",2715
"272",2711
"273",2729
"274",2715
"275",2767
"276",2715
"277",2618
"278",2618
"279",2647
"280",2708
"281",2681
"282",2727
"283",2698
"284",2667
"285",2712
"286",2695
"287",2631
"288",2640
"289",2615
"290",2610
"291",2577
"292",2529
"293",2552
