"","x"
"1",3834
"2",3641
"3",3560
"4",3478
"5",3348
"6",3303
"7",3231
"8",3207
"9",3176
"10",3141
"11",3005
"12",2961
"13",2846
"14",2804
"15",2735
"16",2674
"17",2702
"18",2635
"19",2612
"20",2563
"21",2493
"22",2414
"23",2307
"24",2312
"25",2334
"26",2324
"27",2269
"28",2232
"29",2333
"30",2344
"31",2337
"32",2334
"33",2337
"34",2304
"35",2272
"36",2299
"37",2285
"38",2286
"39",2227
"40",2249
"41",2181
"42",2206
"43",2186
"44",2163
"45",2177
"46",2165
"47",2192
"48",2169
"49",2205
"50",2210
"51",2251
"52",2254
"53",2272
"54",2294
"55",2282
"56",2289
"57",2334
"58",2294
"59",2348
"60",2280
"61",2327
"62",2380
"63",2295
"64",2295
"65",2278
"66",2307
"67",2257
"68",2279
"69",2290
"70",2188
"71",2179
"72",2154
"73",2188
"74",2214
"75",2209
"76",2253
"77",2280
"78",2277
"79",2234
"80",2237
"81",2264
"82",2271
"83",2259
"84",2256
"85",2211
"86",2204
"87",2196
"88",2216
"89",2285
"90",2353
"91",2387
"92",2344
"93",2437
"94",2391
"95",2388
"96",2340
"97",2311
"98",2332
"99",2397
"100",2337
"101",2330
"102",2357
"103",2381
"104",2408
"105",2402
"106",2376
"107",2412
"108",2359
"109",2321
"110",2329
"111",2324
"112",2263
"113",2255
"114",2256
"115",2317
"116",2419
"117",2454
"118",2424
"119",2396
"120",2355
"121",2366
"122",2343
"123",2304
"124",2264
"125",2249
"126",2243
"127",2179
"128",2145
"129",2124
"130",2119
"131",2043
"132",2073
"133",2040
"134",2080
"135",2083
"136",2106
"137",2121
"138",2108
"139",2124
"140",2127
"141",2150
"142",2173
"143",2246
"144",2203
"145",2265
"146",2242
"147",2252
"148",2252
"149",2210
"150",238
"151",429
"152",506
"153",596
"154",580
"155",645
"156",721
"157",741
"158",810
"159",870
"160",949
"161",977
"162",976
"163",965
"164",891
"165",937
"166",1010
"167",1052
"168",1071
"169",1128
"170",1115
"171",1111
"172",1097
"173",1135
"174",1182
"175",1198
"176",1218
"177",1237
"178",1311
"179",1332
"180",1388
"181",1409
"182",1435
"183",1477
"184",1481
"185",1482
"186",1488
"187",1518
"188",1492
"189",1528
"190",1440
"191",1476
"192",1509
"193",1506
"194",1557
"195",1637
"196",1668
"197",1654
"198",1688
"199",1707
"200",1800
"201",1820
"202",1844
"203",1891
"204",1926
"205",1939
"206",1995
"207",1955
"208",2008
"209",1933
"210",1976
"211",2003
"212",1952
"213",1987
"214",1974
"215",2013
"216",1985
"217",2013
"218",2038
"219",1956
"220",1963
"221",1972
"222",2021
"223",2044
"224",2017
"225",2058
"226",2080
"227",2068
"228",2011
"229",2030
"230",2044
"231",2064
"232",2056
"233",2043
"234",2005
"235",2009
"236",2014
"237",2018
"238",2072
"239",2147
"240",2191
"241",2155
"242",2265
"243",2236
"244",2228
"245",2179
"246",2168
"247",2200
"248",2278
"249",2233
"250",2238
"251",2277
"252",2319
"253",2342
"254",2351
"255",2334
"256",2378
"257",2326
"258",2279
"259",2289
"260",2285
"261",2234
"262",2226
"263",2226
"264",2281
"265",2385
"266",2421
"267",2391
"268",2375
"269",2343
"270",2355
"271",2333
"272",2290
"273",2249
"274",2238
"275",2234
"276",2169
"277",2140
"278",2122
"279",2119
"280",2043
"281",2073
"282",2040
"283",2080
"284",2083
"285",2106
"286",2121
"287",2108
"288",2124
"289",2127
"290",2150
"291",2173
"292",2246
"293",2203
"294",2265
"295",2242
"296",2252
"297",2252
"298",2210
