"","x"
"533",3223
"534",3190
"535",3144
"536",3142
"537",3153
"538",3193
"539",3197
"540",3214
"541",3181
"542",3171
"543",3168
"544",3212
"545",3241
"546",3272
"547",3240
"548",3198
"549",3195
"550",3204
"551",3201
"552",3191
"553",3210
"554",3183
"555",3206
"556",3244
"557",3198
"558",3163
"559",3163
"560",3187
"561",3178
"562",3154
"563",3136
"564",3182
"565",3228
"566",3231
"567",3234
"568",3255
"569",3271
"570",3252
"571",3218
"572",3258
"573",3261
"574",3269
"575",3279
"576",3281
"577",3315
"578",3360
"579",3368
"580",3361
"581",3376
"582",3327
"583",3350
"584",3326
"585",3331
"586",3337
"587",3302
"588",3253
"589",3260
"590",3218
"591",3196
"592",3177
"593",3156
"594",3152
"595",3150
"596",3121
"597",3124
"598",3141
"599",3146
"600",3177
"601",3182
"602",3158
"603",3170
"604",3186
"605",3201
"606",3211
"607",3170
"608",3163
"609",3162
"610",3160
"611",3220
"612",3229
"613",3258
"614",3299
"615",3269
"616",3219
"617",3224
"618",3185
"619",3218
"620",3257
"621",3209
"622",3224
"623",3228
"624",3257
"625",3249
"626",3297
"627",3279
"628",3281
"629",3264
"630",3281
"631",3307
"632",3302
"633",3294
"634",3273
"635",3271
"636",3224
"637",3255
"638",3243
"639",3270
"640",3326
"641",3360
"642",3338
"643",3312
"644",3297
"645",3337
"646",3371
"647",3358
"648",3388
"649",3418
"650",3370
"651",3364
"652",3306
"653",3357
"654",3347
"655",3320
"656",3349
"657",3342
"658",3377
"659",3388
"660",3395
"661",3404
"662",3416
"663",3401
"664",3392
"665",3393
"666",3402
"667",3417
"668",3417
"669",3436
"670",3461
"671",3482
"672",3486
"673",3476
"674",3460
"675",3467
"676",3466
"677",3490
"678",3470
"679",3483
"680",3500
"681",3470
"682",3432
"683",3448
"684",3479
"685",3442
"686",3429
"687",3445
"688",3414
"689",3392
"690",3370
"691",3396
"692",3402
"693",3369
"694",3371
"695",3401
"696",3432
"697",3468
"698",3456
"699",3454
"700",3456
"701",3494
"702",3556
"703",3540
"704",3521
"705",3522
"706",3516
"707",3503
"708",3523
"709",3487
"710",3572
"711",3585
"712",3551
"713",3586
"714",3551
"715",3553
"716",3585
"717",3566
"718",3526
"719",3578
"720",3559
"721",3507
"722",3543
"723",3545
"724",3516
"725",3531
"726",3514
"727",3455
"728",3437
"729",3465
"730",3481
"731",3503
"732",3511
"733",3500
"734",3546
"735",3517
"736",3511
"737",3491
"738",3487
"739",3535
"740",3565
"741",3540
"742",3507
"743",3519
"744",3508
"745",3528
"746",3505
"747",3499
"748",3491
"749",3507
"750",3483
"751",3490
"752",3453
"753",3474
"754",3430
