"","x"
"1",3926
"2",3802
"3",3749
"4",3720
"5",3678
"6",3637
"7",3581
"8",3558
"9",3527
"10",3545
"11",3452
"12",3466
"13",3480
"14",3470
"15",3438
"16",3448
"17",3399
"18",3385
"19",3313
"20",3295
"21",3261
"22",3186
"23",3192
"24",3216
"25",3198
"26",3139
"27",3142
"28",3154
"29",3136
"30",3116
"31",3069
"32",3069
"33",3097
"34",3069
"35",3045
"36",3027
"37",3030
"38",3016
"39",3027
"40",3078
"41",3107
"42",3096
"43",3130
"44",3123
"45",3150
"46",3106
"47",3090
"48",3048
"49",3062
"50",3107
"51",3110
"52",3070
"53",3144
"54",3114
"55",3115
"56",3098
"57",3077
"58",3093
"59",3001
"60",2978
"61",2966
"62",2978
"63",2957
"64",2929
"65",2895
"66",2879
"67",2791
"68",2791
"69",2792
"70",2764
"71",2765
"72",2803
"73",2812
"74",2799
"75",2810
"76",2817
"77",2832
"78",2790
"79",2747
"80",2696
"81",2662
"82",2669
"83",2671
"84",2637
"85",2563
"86",2558
"87",2579
"88",2578
"89",2550
"90",2506
"91",2525
"92",2497
"93",2442
"94",2404
"95",2363
"96",2363
"97",2350
"98",2348
"99",2331
"100",2366
"101",2388
"102",2393
"103",2426
"104",2441
"105",2433
"106",2427
"107",2365
"108",2374
"109",2385
"110",2330
"111",2372
"112",2413
"113",2505
"114",2551
"115",2519
"116",2458
"117",2397
"118",2382
"119",2339
"120",2359
"121",2387
"122",2392
"123",2407
"124",2450
"125",2467
"126",2453
"127",2474
"128",2523
"129",2576
"130",2574
"131",2564
"132",2578
"133",2583
"134",2627
"135",2628
"136",2652
"137",2608
"138",2620
"139",2679
"140",2722
"141",2787
"142",2834
"143",2792
"144",2804
"145",2793
"146",2780
"147",2774
"148",2735
"149",2703
"150",2698
"151",2680
"152",2633
"153",2638
"154",2661
"155",2682
"156",2729
"157",2684
"158",2671
"159",2662
"160",2612
"161",2589
"162",2578
"163",2611
"164",2629
"165",2556
"166",2542
"167",2542
"168",2534
"169",2515
"170",2496
"171",2453
"172",2416
"173",2394
"174",2416
"175",2417
"176",2460
"177",2441
"178",2450
"179",2481
"180",2519
"181",2564
"182",2535
"183",2533
"184",2559
"185",2590
"186",2618
"187",2632
"188",2658
"189",2662
"190",2628
"191",2642
"192",2641
"193",2648
"194",2649
"195",2636
"196",2619
"197",2606
"198",2621
"199",2652
"200",2697
"201",2749
"202",2707
"203",2677
"204",2613
"205",2589
"206",2597
"207",2621
"208",2615
"209",2546
"210",2525
"211",2506
"212",2499
"213",2495
"214",2461
"215",2485
"216",2539
"217",2560
"218",2533
"219",2498
"220",2501
"221",2492
"222",2481
"223",2538
"224",2581
"225",2556
"226",2514
"227",2471
"228",2442
"229",2479
"230",2467
"231",2452
"232",2374
"233",2388
"234",2451
"235",2459
"236",2378
"237",2328
"238",2284
"239",2282
"240",2274
"241",2306
"242",2332
"243",2339
"244",2365
"245",2329
"246",2316
"247",2352
"248",2345
"249",2327
"250",2336
"251",2339
"252",2318
"253",2371
"254",2384
"255",2445
"256",2433
"257",2354
"258",2303
"259",2335
"260",2362
"261",2354
"262",2355
"263",2366
"264",2369
"265",2376
"266",2382
"267",2447
"268",2435
"269",2486
"270",2415
"271",2476
"272",2476
"273",2391
"274",2354
"275",2373
"276",2304
"277",2318
"278",2379
"279",2374
"280",2403
"281",2383
"282",2379
"283",2348
"284",2271
"285",2337
"286",2359
"287",2328
"288",2327
"289",2267
"290",2291
"291",2345
"292",2297
"293",2272
"294",2235
"295",2247
"296",2283
"297",2273
"298",2302
"299",2363
"300",2342
"301",2318
"302",2292
"303",2247
"304",2286
"305",2243
"306",2201
"307",2163
"308",2156
"309",2218
"310",2234
"311",2199
"312",2215
"313",2279
"314",2275
"315",2276
"316",2257
"317",2251
"318",2282
"319",2216
"320",2213
"321",2213
"322",2223
"323",2208
"324",2207
"325",2182
"326",2205
"327",2188
"328",2174
"329",2093
"330",2038
"331",1995
"332",1945
"333",1990
"334",2016
"335",1966
"336",1958
"337",1955
