"","x"
"1",3397
"2",2949
"3",2686
"4",2506
"5",2321
"6",2243
"7",2229
"8",2092
"9",2063
"10",2208
"11",2166
"12",2143
"13",2077
"14",2079
"15",2029
"16",2005
"17",2061
"18",2059
"19",2016
"20",1991
"21",2046
"22",1974
"23",1939
"24",1985
"25",2043
"26",2021
"27",1977
"28",1944
"29",2056
"30",2070
"31",2101
"32",2176
"33",2173
"34",2193
"35",2148
"36",2051
"37",2087
"38",2065
"39",1955
"40",1916
"41",1983
"42",2011
"43",672
"44",1137
"45",1443
"46",1755
"47",1873
"48",1907
"49",1977
"50",1928
"51",1955
"52",2127
"53",2103
"54",2086
"55",2037
"56",2038
"57",1993
"58",1969
"59",2022
"60",2031
"61",1998
"62",1977
"63",2041
"64",1973
"65",1939
"66",1985
"67",2043
"68",2021
"69",1977
"70",1944
"71",2056
"72",2070
"73",2101
"74",2176
"75",2173
"76",2193
"77",2148
"78",2051
"79",2087
"80",2065
"81",1955
"82",1916
"83",1983
"84",2011
