"iter","mc1","mc2"
1,65456,33313
2,65412,30559
3,65364,35346
4,178,59241
5,65372,62610
6,210,1811
7,65352,64201
8,65342,64306
9,65335,454
10,65331,65275
11,202,225
12,65359,292
13,65298,241
14,228,65344
15,232,215
16,220,223
