mc1,mc2
0.999641,0.999855
0.999413,0.999611
0.999301,0.666412
0.99931,0.499813
0.999271,0.399852
0.832729,0.49973
0.71377,0.428341
0.749469,0.499708
0.666194,0.444185
0.599575,0.49969
0.545069,0.545109
0.499647,0.499683
0.538069,0.538118
0.571,0.499682
